kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
4067336,K01761.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,10.12740725,135.26752,1.2982,1.773,1089.4,42.15,969,208.77,18.3,1,q1_q12_tce,6392,4.399,1.162,294.14682,39.12706,15.623
4833421,K00232.05,Kepler-122 f,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,56.2587885,164.22391,0.3786,8.295,354.1,1.81,487,13.27,27.1,5,q1_q12_tce,6103,4.496,0.949,291.11188,39.949108,14.247
5940165,K02031.01,Kepler-1062 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,9.30412078,140.34013,0.2185,1.8914,658.6,1.64,583,27.35,26.3,1,q1_q12_tce,4458,4.611,0.658,283.89941,41.221611,14.796
2985767,K02032.01,Kepler-1063 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,14.07971466,139.95846,0.0309,1.3354,173.4,1.15,694,54.93,25.7,1,q1_q12_tce,5568,4.503,0.883,290.52676,38.142979,12.261
2304320,K02033.01,Kepler-1064 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,16.54080322,133.9536,0.0306,2.544,396.7,1.26,537,19.71,31.6,1,q1_q12_tce,5094,4.662,0.644,291.74164,37.688938,13.755
3657758,K02034.01,Kepler-1065 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,3.609308907,133.79148,0.3456,1.7448,1583.4,3.47,1092,336.16,52.5,1,q1_q12_tce,5668,4.545,0.868,294.51126,38.790501,15.54
10864531,K02080.02,Kepler-358 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,34.0607631,141.3598,0.4224,2.452,926.6,2.91,554,22.32,23.2,1,q1_q12_tce,5910,4.505,0.94,293.23022,48.281368,15.375
2853780,K02081.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,6.21416622,132.24921,0.0233,10.109,182.9,4.17,1506,1216.48,51.9,1,q1_q12_tce,5295,3.617,3.152,291.72916,38.070019,13.439
9472000,K02082.01,Kepler-1790 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,31.5888952,155.61617,0.3318,3.4026,378.2,2.02,606,31.79,26.9,1,q1_q12_tce,6108,4.466,1.03,294.56693,46.075802,14.143
7097965,K02083.01,Kepler-1791 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,7.72084349,136.5637,0.5024,1.5151,265,1.96,1077,317.66,32.1,1,q1_q12_tce,6218,4.291,1.168,284.49033,42.648289,13.516
